run,timestamp_ms,target_rpm,raw_rpm,filtered_rpm,error_rpm,pi_output,pwm_duty,motor_current,encoder_count,state,fault_flags
,820,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,3090,3,0
,830,150.0,148.4,149.73,0.27,9.59,9.59,0.045,3127,3,0
,840,150.0,148.4,149.73,0.27,9.83,9.83,0.047,3164,3,0
,850,150.0,152.41,149.73,0.27,7.46,7.46,0.018,3202,3,0
,860,150.0,148.4,149.73,0.27,9.71,9.71,0.046,3239,3,0
,870,150.0,148.4,149.73,0.27,9.95,9.95,0.049,3276,3,0
,880,150.0,152.41,149.73,0.27,7.58,7.58,0.02,3314,3,0
,890,150.0,148.4,149.73,0.27,9.83,9.83,0.047,3351,3,0
,900,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,3389,3,0
,910,150.0,152.41,151.07,-1.07,7.1,7.1,0.015,3427,3,0
,920,150.0,144.39,149.73,0.27,11.95,11.95,0.074,3463,3,0
,930,150.0,152.41,149.73,0.27,7.58,7.58,0.02,3501,3,0
,940,150.0,152.41,149.73,0.27,7.22,7.22,0.016,3539,3,0
,950,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,3576,3,0
,960,150.0,148.4,149.73,0.27,9.71,9.71,0.046,3613,3,0
,970,150.0,148.4,148.4,1.6,9.95,9.95,0.049,3650,3,0
,980,150.0,152.41,149.73,0.27,7.58,7.58,0.02,3688,3,0
,990,150.0,148.4,149.73,0.27,9.83,9.83,0.047,3725,3,0
,1000,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,3763,3,0
,1010,150.0,148.4,149.73,0.27,9.71,9.71,0.046,3800,3,0
,1020,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,3838,3,0
,1030,150.0,148.4,149.73,0.27,9.59,9.59,0.045,3875,3,0
,1040,150.0,148.4,149.73,0.27,9.83,9.83,0.047,3912,3,0
,1050,150.0,152.41,149.73,0.27,7.46,7.46,0.018,3950,3,0
,1060,150.0,148.4,149.73,0.27,9.71,9.71,0.046,3987,3,0
,1070,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,4025,3,0
,1080,150.0,148.4,149.73,0.27,9.59,9.59,0.045,4062,3,0
,1090,150.0,148.4,149.73,0.27,9.83,9.83,0.047,4099,3,0
,1100,150.0,152.41,149.73,0.27,7.46,7.46,0.018,4137,3,0
,1110,150.0,148.4,149.73,0.27,9.71,9.71,0.046,4174,3,0
,1120,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,4212,3,0
,1130,150.0,148.4,149.73,0.27,9.59,9.59,0.045,4249,3,0
,1140,150.0,148.4,149.73,0.27,9.83,9.83,0.047,4286,3,0
,1150,150.0,152.41,149.73,0.27,7.46,7.46,0.018,4324,3,0
,1160,150.0,148.4,149.73,0.27,9.71,9.71,0.046,4361,3,0
,1170,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,4399,3,0
,1180,150.0,148.4,149.73,0.27,9.59,9.59,0.045,4436,3,0
,1190,150.0,148.4,149.73,0.27,9.83,9.83,0.047,4473,3,0
,1200,150.0,152.41,149.73,0.27,7.46,7.46,0.018,4511,3,0
,1210,150.0,148.4,149.73,0.27,9.71,9.71,0.046,4548,3,0
,1220,150.0,148.4,149.73,0.27,9.95,9.95,0.049,4585,3,0
,1230,150.0,152.41,149.73,0.27,7.58,7.58,0.02,4623,3,0
,1240,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,4661,3,0
,1250,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,4698,3,0
,1260,150.0,148.4,149.73,0.27,9.71,9.71,0.046,4735,3,0
,1270,150.0,148.4,148.4,1.6,9.95,9.95,0.049,4772,3,0
,1280,150.0,152.41,149.73,0.27,7.58,7.58,0.02,4810,3,0
,1290,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,4848,3,0
,1300,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,4885,3,0
,1310,150.0,148.4,149.73,0.27,9.71,9.71,0.046,4922,3,0
,1320,150.0,148.4,148.4,1.6,9.95,9.95,0.049,4959,3,0
,1330,150.0,152.41,149.73,0.27,7.58,7.58,0.02,4997,3,0
,1340,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5034,3,0
,1350,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,5072,3,0
,1360,150.0,148.4,149.73,0.27,9.71,9.71,0.046,5109,3,0
,1370,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,5147,3,0
,1380,150.0,148.4,149.73,0.27,9.59,9.59,0.045,5184,3,0
,1390,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5221,3,0
,1400,150.0,152.41,149.73,0.27,7.46,7.46,0.018,5259,3,0
,1410,150.0,148.4,149.73,0.27,9.71,9.71,0.046,5296,3,0
,1420,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,5334,3,0
,1430,150.0,148.4,149.73,0.27,9.59,9.59,0.045,5371,3,0
,1440,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5408,3,0
,1450,150.0,152.41,149.73,0.27,7.46,7.46,0.018,5446,3,0
,1460,150.0,148.4,149.73,0.27,9.71,9.71,0.046,5483,3,0
,1470,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,5521,3,0
,1480,150.0,148.4,149.73,0.27,9.59,9.59,0.045,5558,3,0
,1490,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5595,3,0
,1500,150.0,152.41,149.73,0.27,7.46,7.46,0.018,5633,3,0
,1510,150.0,148.4,149.73,0.27,9.71,9.71,0.046,5670,3,0
,1520,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,5708,3,0
,1530,150.0,148.4,149.73,0.27,9.59,9.59,0.045,5745,3,0
,1540,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5782,3,0
,1550,150.0,152.41,149.73,0.27,7.46,7.46,0.018,5820,3,0
,1560,150.0,148.4,149.73,0.27,9.71,9.71,0.046,5857,3,0
,1570,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,5895,3,0
,1580,150.0,148.4,149.73,0.27,9.59,9.59,0.045,5932,3,0
,1590,150.0,148.4,149.73,0.27,9.83,9.83,0.047,5969,3,0
,1600,150.0,152.41,149.73,0.27,7.46,7.46,0.018,6007,3,0
,1610,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6044,3,0
,1620,150.0,148.4,149.73,0.27,9.95,9.95,0.049,6081,3,0
,1630,150.0,152.41,149.73,0.27,7.58,7.58,0.02,6119,3,0
,1640,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,6157,3,0
,1650,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,6194,3,0
,1660,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6231,3,0
,1670,150.0,148.4,148.4,1.6,9.95,9.95,0.049,6268,3,0
,1680,150.0,152.41,149.73,0.27,7.58,7.58,0.02,6306,3,0
,1690,150.0,148.4,149.73,0.27,9.83,9.83,0.047,6343,3,0
,1700,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,6381,3,0
,1710,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6418,3,0
,1720,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,6456,3,0
,1730,150.0,148.4,149.73,0.27,9.59,9.59,0.045,6493,3,0
,1740,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,6531,3,0
,1750,150.0,148.4,149.73,0.27,9.47,9.47,0.044,6568,3,0
,1760,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6605,3,0
,1770,150.0,148.4,148.4,1.6,9.95,9.95,0.049,6642,3,0
,1780,150.0,152.41,149.73,0.27,7.58,7.58,0.02,6680,3,0
,1790,150.0,148.4,149.73,0.27,9.83,9.83,0.047,6717,3,0
,1800,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,6755,3,0
,1810,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6792,3,0
,1820,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,6830,3,0
,1830,150.0,148.4,149.73,0.27,9.59,9.59,0.045,6867,3,0
,1840,150.0,148.4,149.73,0.27,9.83,9.83,0.047,6904,3,0
,1850,150.0,152.41,149.73,0.27,7.46,7.46,0.018,6942,3,0
,1860,150.0,148.4,149.73,0.27,9.71,9.71,0.046,6979,3,0
,1870,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,7017,3,0
,1880,150.0,148.4,149.73,0.27,9.59,9.59,0.045,7054,3,0
,1890,150.0,148.4,149.73,0.27,9.83,9.83,0.047,7091,3,0
,1900,150.0,152.41,149.73,0.27,7.46,7.46,0.018,7129,3,0
,1910,150.0,148.4,149.73,0.27,9.71,9.71,0.046,7166,3,0
,1920,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,7204,3,0
,1930,150.0,148.4,149.73,0.27,9.59,9.59,0.045,7241,3,0
,1940,150.0,148.4,149.73,0.27,9.83,9.83,0.047,7278,3,0
,1950,150.0,152.41,149.73,0.27,7.46,7.46,0.018,7316,3,0
,1960,150.0,148.4,149.73,0.27,9.71,9.71,0.046,7353,3,0
,1970,150.0,148.4,149.73,0.27,9.95,9.95,0.048,7390,3,0
,1980,150.0,152.41,149.73,0.27,7.58,7.58,0.02,7428,3,0
,1990,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,7466,3,0
,2000,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,7503,3,0
,2010,150.0,148.4,149.73,0.27,9.71,9.71,0.046,7540,3,0
,2020,150.0,148.4,148.4,1.6,9.95,9.95,0.049,7577,3,0
,2030,150.0,152.41,149.73,0.27,7.58,7.58,0.02,7615,3,0
,2040,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,7653,3,0
,2050,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,7690,3,0
,2060,150.0,148.4,149.73,0.27,9.71,9.71,0.046,7727,3,0
,2070,150.0,148.4,148.4,1.6,9.95,9.95,0.049,7764,3,0
,2080,150.0,152.41,149.73,0.27,7.58,7.58,0.02,7802,3,0
,2090,150.0,148.4,149.73,0.27,9.83,9.83,0.047,7839,3,0
,2100,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,7877,3,0
,2110,150.0,148.4,149.73,0.27,9.71,9.71,0.046,7914,3,0
,2120,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,7952,3,0
,2130,150.0,148.4,149.73,0.27,9.59,9.59,0.045,7989,3,0
,2140,150.0,148.4,149.73,0.27,9.83,9.83,0.047,8026,3,0
,2150,150.0,152.41,149.73,0.27,7.46,7.46,0.018,8064,3,0
,2160,150.0,148.4,149.73,0.27,9.71,9.71,0.046,8101,3,0
,2170,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,8139,3,0
,2180,150.0,148.4,149.73,0.27,9.59,9.59,0.045,8176,3,0
,2190,150.0,148.4,149.73,0.27,9.83,9.83,0.047,8213,3,0
,2200,150.0,152.41,149.73,0.27,7.46,7.46,0.018,8251,3,0
,2210,150.0,148.4,149.73,0.27,9.71,9.71,0.046,8288,3,0
,2220,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,8326,3,0
,2230,150.0,148.4,149.73,0.27,9.59,9.59,0.045,8363,3,0
,2240,150.0,148.4,149.73,0.27,9.83,9.83,0.047,8400,3,0
,2250,150.0,152.41,149.73,0.27,7.46,7.46,0.018,8438,3,0
,2260,150.0,148.4,149.73,0.27,9.71,9.71,0.046,8475,3,0
,2270,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,8513,3,0
,2280,150.0,148.4,149.73,0.27,9.59,9.59,0.045,8550,3,0
,2290,150.0,148.4,149.73,0.27,9.83,9.83,0.047,8587,3,0
,2300,150.0,152.41,149.73,0.27,7.46,7.46,0.018,8625,3,0
,2310,150.0,148.4,149.73,0.27,9.71,9.71,0.046,8662,3,0
,2320,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,8700,3,0
,2330,150.0,148.4,149.73,0.27,9.59,9.59,0.045,8737,3,0
,2340,150.0,148.4,149.73,0.27,9.83,9.83,0.047,8774,3,0
,2350,150.0,152.41,149.73,0.27,7.46,7.46,0.018,8812,3,0
,2360,150.0,148.4,149.73,0.27,9.71,9.71,0.046,8849,3,0
,2370,150.0,148.4,149.73,0.27,9.95,9.95,0.049,8886,3,0
,2380,150.0,152.41,149.73,0.27,7.58,7.58,0.02,8924,3,0
,2390,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,8962,3,0
,2400,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,8999,3,0
,2410,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9036,3,0
,2420,150.0,148.4,148.4,1.6,9.95,9.95,0.049,9073,3,0
,2430,150.0,152.41,149.73,0.27,7.58,7.58,0.02,9111,3,0
,2440,150.0,148.4,149.73,0.27,9.83,9.83,0.047,9148,3,0
,2450,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,9186,3,0
,2460,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9223,3,0
,2470,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,9261,3,0
,2480,150.0,148.4,149.73,0.27,9.59,9.59,0.045,9298,3,0
,2490,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,9336,3,0
,2500,150.0,148.4,149.73,0.27,9.47,9.47,0.044,9373,3,0
,2510,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9410,3,0
,2520,150.0,148.4,148.4,1.6,9.95,9.95,0.049,9447,3,0
,2530,150.0,152.41,149.73,0.27,7.58,7.58,0.02,9485,3,0
,2540,150.0,148.4,149.73,0.27,9.83,9.83,0.047,9522,3,0
,2550,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,9560,3,0
,2560,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9597,3,0
,2570,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,9635,3,0
,2580,150.0,148.4,149.73,0.27,9.59,9.59,0.045,9672,3,0
,2590,150.0,148.4,149.73,0.27,9.83,9.83,0.047,9709,3,0
,2600,150.0,152.41,149.73,0.27,7.46,7.46,0.018,9747,3,0
,2610,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9784,3,0
,2620,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,9822,3,0
,2630,150.0,148.4,149.73,0.27,9.59,9.59,0.045,9859,3,0
,2640,150.0,148.4,149.73,0.27,9.83,9.83,0.047,9896,3,0
,2650,150.0,152.41,149.73,0.27,7.46,7.46,0.018,9934,3,0
,2660,150.0,148.4,149.73,0.27,9.71,9.71,0.046,9971,3,0
,2670,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,10009,3,0
,2680,150.0,148.4,149.73,0.27,9.59,9.59,0.045,10046,3,0
,2690,150.0,148.4,149.73,0.27,9.83,9.83,0.047,10083,3,0
,2700,150.0,152.41,149.73,0.27,7.46,7.46,0.018,10121,3,0
