timestamp_ms,target_rpm,measured_rpm,pwm_duty,current_amps,load_torque
0,200.0,0.0,10.4,0.24960000000000004,0.0
10,200.0,4.76700885548845,10.5521155395146,0.2512539729483504,0.0
20,200.0,9.541771223155886,10.694293878684917,0.2526662053048512,0.0
30,200.0,14.319631430224756,10.826761605471024,0.2538440853441969,0.0
40,200.0,19.096098187934018,10.949746071209692,0.2547949508051069,0.0
50,200.0,23.86684280445304,11.063475154774837,0.2555260839787491,0.0
60,200.0,28.627697312926692,11.1681770347253,0.2560447070244095,0.0
70,200.0,33.37465251941617,11.264079969361994,0.25635797750853984,0.0
80,200.0,38.1038559754021,11.351412084611894,0.25647298416324993,0.0
90,200.0,42.81160987941836,11.430401169652242,0.25639674286024944,0.0
100,200.0,47.494368912285715,11.501274480184303,0.25613619279619393,0.0
110,200.0,52.14873801031464,11.564258549262227,0.25569819288533563,0.0
120,200.0,56.771470080746994,11.619579005579116,0.2550895183553431,0.0
130,200.0,61.3594636636053,11.66746039910899,0.25431685754211014,0.0
140,200.0,65.90976054401817,11.70812603400031,0.2533868088793475,0.0
150,200.0,70.41954331898962,11.74179780861376,0.25230587807871874,0.0
160,200.0,74.88613292247898,11.768696062594334,0.2510804754962629,0.0
170,200.0,79.30698611255782,11.789039430865277,0.24971691368082535,0.0
180,200.0,83.67969292430969,11.803044704429063,0.24822140510020935,0.0
190,200.0,88.00197409203784,11.81092669785858,0.24660006004074653,0.0
200,200.0,92.2716784442468,11.812898123359638,0.24485888467598524,0.0
210,200.0,96.48678027476375,11.809169471284264,0.24300377930019162,0.0
220,200.0,100.64537669326643,11.799948896972598,0.24104053672236322,0.0
230,200.0,104.7456849583866,11.785442113799814,0.23897484081646242,0.0
240,200.0,108.78603979645933,11.765852292303261,0.23681226522358717,0.0
250,200.0,112.76489070889178,11.741379965263853,0.23455827220181108,0.0
260,200.0,116.68079927102883,11.712222938614945,0.2322182116194454,0.0
270,200.0,120.53243642529702,11.678576208050941,0.22979732008749038,0.0
280,200.0,124.31857977131389,11.640631881207469,0.22730072022707573,0.0
290,200.0,128.03811085555577,11.598579105284264,0.22473342006771174,0.0
300,200.0,131.69001246308483,11.552603999981642,0.22210031257220267,0.0
310,200.0,135.27336591374393,11.502889595621198,0.21940617528411116,0.0
320,200.0,138.7873483651376,11.44961577632124,0.21665567009369324,0.0
330,200.0,142.23123012462767,11.392959228097482,0.2138533431182636,0.0
340,200.0,145.6043719724844,11.333093391759679,0.21100362469299058,0.0
350,200.0,148.90622249824557,11.270188420475128,0.20811082946816367,0.0
360,200.0,152.13631545225186,11.204411141870308,0.20517915660901886,0.0
370,200.0,155.29426711424077,11.135925024542383,0.20221269009425588,0.0
380,200.0,158.37977368079882,11.064890148852882,0.19921539910942765,0.0
390,200.0,161.39260867338965,10.991463181876561,0.19619113853143572,0.0
400,200.0,164.3326203685953,10.91579735637909,0.19314364950041293,0.0
410,200.0,167.1997292521282,10.838042453698186,0.19007656007533136,0.0
420,200.0,169.99392549809468,10.758344790403674,0.18699338596972756,0.0
430,200.0,172.71526647491294,10.676847208612935,0.18389753136399176,0.0
440,200.0,175.3638742792155,10.593689069839375,0.180792289790728,0.0
450,200.0,177.93993329899106,10.509006252252615,0.177680845089747,0.0
460,200.0,180.44368780714953,10.422931151230392,0.17456627242931724,0.0
470,200.0,182.87543958662405,10.33559268308342,0.17145153939035646,0.0
480,200.0,185.23554558805375,10.247116291835825,0.1683395071103096,0.0
490,200.0,187.52441562102456,10.157623958945237,0.16523293148352172,0.0
500,200.0,189.74251007977946,10.06723421584793,0.16213446441497403,0.0
510,200.0,191.8903377042446,9.976062159216186,0.1590466551243192,0.0
520,200.0,193.96845337715544,9.884219468816333,0.15597195149721252,0.0
530,200.0,195.97745595800615,9.791814427857785,0.1529127014810016,0.0
