duty_percent,measured_rpm,model_rpm
0.0,0.0,0
1.0101010101010102,0.0,0
2.0202020202020203,0.0,0
3.0303030303030303,0.0,0
4.040404040404041,0.0,0
5.050505050505051,0.0,2.304924757781915
6.0606060606060606,0.0,4.991175015460742
7.070707070707071,0.0,7.677425273139572
8.080808080808081,0.0,10.363675530818401
9.090909090909092,0.0,13.049925788497232
10.101010101010102,0.3737373737373778,15.73617604617606
11.111111111111112,4.111111111111116,18.42242630385489
12.121212121212121,7.848484848484849,21.108676561533716
13.131313131313131,11.585858585858587,23.794926819212545
14.141414141414142,15.323232323232325,26.481177076891374
15.151515151515152,19.073737373737377,29.167427334570206
16.161616161616163,22.898653198653204,31.853677592249035
17.171717171717173,26.723569023569027,34.539927849927864
18.181818181818183,30.548484848484854,37.22617810760669
19.191919191919194,34.37340067340068,39.91242836528552
20.202020202020204,38.1983164983165,42.59867862296435
21.212121212121215,42.023232323232335,45.284928880643186
22.222222222222225,45.848148148148155,47.971179138322015
23.232323232323235,49.67306397306399,50.65742939600084
24.242424242424242,53.497979797979795,53.343679653679665
25.252525252525253,57.32289562289562,56.029929911358494
26.262626262626263,61.14781144781145,58.71618016903732
27.272727272727273,64.97272727272727,61.40243042671615
28.282828282828284,68.7976430976431,64.08868068439499
29.292929292929294,72.62255892255892,66.77493094207381
30.303030303030305,76.11060606060606,69.46118119975264
31.313131313131315,78.81262626262627,72.14743145743147
32.323232323232325,81.51464646464648,74.8336817151103
33.333333333333336,84.21666666666667,77.51993197278912
34.343434343434346,86.91868686868688,80.20618223046796
35.35353535353536,89.62070707070708,82.8924324881468
36.36363636363637,92.32272727272729,85.57868274582562
37.37373737373738,95.02474747474749,88.26493300350445
38.38383838383839,97.7267676767677,90.95118326118327
39.3939393939394,100.42878787878789,93.63743351886211
40.40404040404041,103.1308080808081,96.32368377654093
41.41414141414142,105.8328282828283,99.00993403421977
42.42424242424243,108.53484848484851,101.69618429189859
43.43434343434344,111.23686868686872,104.38243454957743
44.44444444444445,113.93888888888891,107.06868480725626
45.45454545454546,116.6409090909091,109.75493506493508
46.46464646464647,119.34292929292931,112.44118532261392
47.47474747474748,122.04494949494952,115.12743558029274
48.484848484848484,124.7469696969697,117.81368583797156
49.494949494949495,127.44898989898991,120.49993609565038
50.505050505050505,130.0760942760943,123.18618635332922
51.515151515151516,132.62828282828283,125.87243661100804
52.525252525252526,135.1804713804714,128.55868686868686
53.535353535353536,137.73265993265994,131.2449371263657
54.54545454545455,140.2848484848485,133.93118738404453
55.55555555555556,142.83703703703705,136.61743764172337
56.56565656565657,145.3892255892256,139.3036878994022
57.57575757575758,147.94141414141416,141.989938157081
58.58585858585859,150.4936026936027,144.67618841475985
59.5959595959596,153.04579124579126,147.36243867243869
60.60606060606061,155.5979797979798,150.04868893011752
61.61616161616162,158.15016835016837,152.73493918779633
62.62626262626263,160.7023569023569,155.42118944547516
63.63636363636364,163.25454545454545,158.107439703154
64.64646464646465,165.80673400673402,160.79368996083284
65.65656565656566,168.3589225589226,163.47994021851167
66.66666666666667,170.91111111111113,166.16619047619048
67.67676767676768,173.46329966329967,168.85244073386932
68.68686868686869,176.01548821548823,171.53869099154815
69.6969696969697,178.56767676767677,174.224941249227
70.70707070707071,181.11986531986534,176.9111915069058
71.71717171717172,183.67205387205388,179.59744176458463
72.72727272727273,186.22424242424245,182.28369202226347
73.73737373737374,188.776430976431,184.9699422799423
74.74747474747475,191.32861952861953,187.65619253762114
75.75757575757576,193.8808080808081,190.34244279529995
76.76767676767678,196.43299663299666,193.02869305297878
77.77777777777779,198.9851851851852,195.71494331065762
78.7878787878788,201.53737373737374,198.40119356833645
79.7979797979798,204.0895622895623,201.0874438260153
80.80808080808082,206.37373737373738,203.7736940836941
81.81818181818183,208.5909090909091,206.45994434137293
82.82828282828284,210.80808080808083,209.14619459905177
83.83838383838385,213.02525252525254,211.8324448567306
84.84848484848486,215.24242424242425,214.5186951144094
85.85858585858587,217.459595959596,217.20494537208825
86.86868686868688,219.6767676767677,219.89119562976708
87.87878787878789,221.8939393939394,222.57744588744592
88.8888888888889,224.11111111111114,225.26369614512475
89.89898989898991,226.32828282828285,227.94994640280356
90.90909090909092,228.54545454545456,230.6361966604824
91.91919191919193,230.7626262626263,233.32244691816123
92.92929292929294,232.979797979798,236.00869717584007
93.93939393939395,235.19696969696972,238.69494743351888
94.94949494949496,237.41414141414145,241.3811976911977
95.95959595959597,239.63131313131316,244.06744794887655
96.96969696969697,241.84848484848484,246.75369820655536
97.97979797979798,244.06565656565655,249.43994846423416
98.98989898989899,246.2828282828283,252.126198721913
100.0,248.5,254.81244897959184
