timestamp_ms,target_rpm,measured_rpm,error_rpm,control_output,pwm_duty,motor_current,motor_voltage,state,fault_flags,encoder_count,loop_time_us
10,200.0,0.0,200.0,100.0,100.0,1.2,12.0,3,0,0,50.0
20,200.0,92.24598930481282,107.75401069518718,70.04010695187166,70.04010695187166,0.7963812834224601,8.4048128342246,3,0,23,50.0
30,200.0,160.42780748663102,39.572192513368975,41.88502673796791,41.88502673796791,0.42714887887700526,5.026203208556149,3,0,63,50.0
40,200.0,192.5133689839572,7.486631016042793,26.96524064171124,26.96524064171124,0.23232134496697876,3.235828877005349,3,0,111,50.0
50,200.0,208.5561497326203,-8.556149732620298,17.66042780748665,17.66042780748665,0.11307980733979213,2.119251336898398,3,0,163,50.0
60,200.0,216.57754010695186,-16.577540106951858,11.16310160427809,11.16310160427809,0.032509067231028775,1.3395721925133708,3,0,217,50.0
70,200.0,212.5668449197861,-12.566844919786092,11.28342245989306,11.28342245989306,0.03466526331595794,1.3540106951871673,3,0,270,50.0
80,200.0,212.5668449197861,-12.566844919786092,9.398395721925146,9.398395721925146,0.012655715420101844,1.1278074866310175,3,0,323,50.0
90,200.0,208.5561497326203,-8.556149732620298,10.120320855614999,10.120320855614999,0.02280876121472596,1.2144385026737998,3,0,375,50.0
100,200.0,208.5561497326203,-8.556149732620298,8.836898395721954,8.836898395721954,0.0084566386478661,1.0604278074866345,3,0,427,50.0
110,200.0,204.54545454545453,-4.5454545454545325,10.160427807486657,10.160427807486657,0.025948220565819913,1.2192513368983988,3,0,478,50.0
120,200.0,200.53475935828874,-0.5347593582887384,12.085561497326244,12.085561497326244,0.04991846017345965,1.4502673796791492,3,0,528,50.0
130,200.0,204.54545454545453,-4.5454545454545325,9.398395721925167,9.398395721925167,0.01755293878751073,1.1278074866310202,3,0,579,50.0
140,200.0,196.524064171123,3.475935828876999,13.930481283422482,13.930481283422482,0.07313162770209616,1.671657754010698,3,0,628,50.0
150,200.0,204.54545454545453,-4.5454545454545325,9.237967914438537,9.237967914438537,0.01574031930633337,1.1085561497326244,3,0,679,50.0
160,200.0,196.524064171123,3.475935828876999,13.770053475935851,13.770053475935851,0.07139016902573322,1.652406417112302,3,0,728,50.0
170,200.0,204.54545454545453,-4.5454545454545325,9.077540106951906,9.077540106951906,0.014065716206093615,1.0893048128342286,3,0,779,50.0
180,200.0,196.524064171123,3.475935828876999,13.60962566844922,13.60962566844922,0.0697783767392612,1.6331550802139065,3,0,828,50.0
190,200.0,200.53475935828874,-0.5347593582887384,11.524064171123042,11.524064171123042,0.04379635713904956,1.382887700534765,3,0,878,50.0
