time_ms,measured_rpm
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,8.305867441052879
120,16.07611815890435
130,23.345292227328653
140,30.145702349958913
150,36.50757749569972
160,42.45919727158764
170,48.02701763040977
180,53.23578847187187
190,58.10866366007305
200,62.667303946333284
210,66.93197325488295
220,70.92162875942067
230,74.65400515094474
240,78.14569347144307
250,81.4122148638705
260,84.46808956624463
270,87.32690145655054
280,90.00135843536744
290,92.503348914628
300,94.84399466361285
310,97.0337002470889
320,99.08219927535312
330,100.99859767177038
340,102.79141415013726
350,104.46861808180033
360,106.03766492085467
370,107.50552934489355
380,108.87873625862574
390,110.16338979817627
400,111.3652004650002
410,112.48951051002378
420,113.5413176808501
430,114.5252974375892
440,115.44582373606623
450,116.30698847079208
460,117.11261966412395
470,117.86629848246989
480,118.57137515517675
490,119.23098386686434
500,119.8480566894041
510,120.42533661547266
520,120.96538975161647
530,121.47061672502787
540,121.94326335473741
550,122.38543063465792
560,122.79908407285643
570,123.18606242856883
580,123.54808588579442
590,123.88676369980362
600,124.20360135054898
610,124.50000723477704
620,124.77729892658938
630,125.03670903428137
640,125.27939067949389
650,125.50642262303315
660,125.71881406014448
670,125.91750910655499
680,126.10339099522733
690,126.27728600247882
700,126.43996712091902
710,126.59215749553218
720,126.73453363817839
730,126.86772843480296
740,126.99233395872099
750,127.10890410248308
760,127.21795704002099
770,127.31997753001818
780,127.4154190707437
790,127.50470591592858
800,127.58823496064502
810,127.66637750557193
820,127.73948090748897
830,127.80787012333604
840,127.87184915470156
850,127.9317023991608
860,127.98769591447102
870,128.04007860124298
880,128.08908330934622
890,128.1349278729658
900,128.17781607891212
910,128.2179385724875
920,128.2554737049368
930,128.2905883262486
940,128.32343852683172
950,128.35417033136315
960,128.38292034789256
970,128.40981637508793
980,128.4349779703223
990,128.45851698112642
