run_id,load_level_id,timestamp_ms,target_rpm,raw_encoder_count,raw_speed_rpm,filtered_speed_rpm,pwm_duty_percent,current_a,applied_force_n,estimated_external_torque_nm,disturbance_state,system_state,fault_flags
1,L0,700,150.0,2641,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,710,150.0,2678,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,720,150.0,2716,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,730,150.0,2753,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,740,150.0,2790,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,750,150.0,2828,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,760,150.0,2865,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,770,150.0,2903,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,780,150.0,2940,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,790,150.0,2977,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,800,150.0,3015,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,810,150.0,3052,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,820,150.0,3090,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,830,150.0,3127,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,840,150.0,3164,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,850,150.0,3202,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,860,150.0,3239,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,870,150.0,3276,148.4,149.73,9.95,0.049,0.0,0.0,0,3,0
1,L0,880,150.0,3314,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,890,150.0,3351,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,900,150.0,3389,152.41,151.07,7.46,0.018,0.0,0.0,0,3,0
1,L0,910,150.0,3427,152.41,151.07,7.1,0.015,0.0,0.0,0,3,0
1,L0,920,150.0,3463,144.39,149.73,11.95,0.074,0.0,0.0,0,3,0
1,L0,930,150.0,3501,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,940,150.0,3539,152.41,149.73,7.22,0.016,0.0,0.0,0,3,0
1,L0,950,150.0,3576,148.4,151.07,9.47,0.044,0.0,0.0,0,3,0
1,L0,960,150.0,3613,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,970,150.0,3650,148.4,148.4,9.95,0.049,0.0,0.0,0,3,0
1,L0,980,150.0,3688,152.41,149.73,7.58,0.02,0.0,0.0,0,3,0
1,L0,990,150.0,3725,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1000,150.0,3763,152.41,151.07,7.46,0.018,0.0,0.0,0,3,0
1,L0,1010,150.0,3800,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1020,150.0,3838,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1030,150.0,3875,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1040,150.0,3912,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1050,150.0,3950,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1060,150.0,3987,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1070,150.0,4025,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1080,150.0,4062,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
1,L0,1090,150.0,4099,148.4,149.73,9.83,0.047,0.0,0.0,0,3,0
1,L0,1100,150.0,4137,152.41,149.73,7.46,0.018,0.0,0.0,0,3,0
1,L0,1110,150.0,4174,148.4,149.73,9.71,0.046,0.0,0.0,0,3,0
1,L0,1120,150.0,4212,152.41,151.07,7.34,0.017,0.0,0.0,0,3,0
1,L0,1130,150.0,4249,148.4,149.73,9.59,0.045,0.0,0.0,0,3,0
