timestamp_ms,target_rpm,raw_encoder_count,raw_speed,filtered_speed,error_rpm,pi_output,pwm_duty,current,system_state,fault_flags,disturbance_active,applied_force_n,torque_nm,run_id
630,150.0,2379,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
640,150.0,2416,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
650,150.0,2454,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
660,150.0,2491,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
670,150.0,2529,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
680,150.0,2566,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
690,150.0,2603,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
700,150.0,2641,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
710,150.0,2678,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
720,150.0,2716,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
730,150.0,2753,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
740,150.0,2790,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
750,150.0,2828,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
760,150.0,2865,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
770,150.0,2903,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
780,150.0,2940,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
790,150.0,2977,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
800,150.0,3015,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
810,150.0,3052,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
820,150.0,3090,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
830,150.0,3127,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
840,150.0,3164,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
850,150.0,3202,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
860,150.0,3239,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
870,150.0,3276,148.4,149.73,0.27,9.95,9.95,0.049,3,0,0,0.0,0.0,1
880,150.0,3314,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
890,150.0,3351,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
900,150.0,3389,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
910,150.0,3427,152.41,151.07,-1.07,7.1,7.1,0.015,3,0,0,0.0,0.0,1
920,150.0,3463,144.39,149.73,0.27,11.95,11.95,0.074,3,0,0,0.0,0.0,1
930,150.0,3501,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
940,150.0,3539,152.41,149.73,0.27,7.22,7.22,0.016,3,0,0,0.0,0.0,1
950,150.0,3576,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
960,150.0,3613,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
970,150.0,3650,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
980,150.0,3688,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
990,150.0,3725,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1000,150.0,3763,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1010,150.0,3800,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1020,150.0,3838,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1030,150.0,3875,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1040,150.0,3912,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1050,150.0,3950,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1060,150.0,3987,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1070,150.0,4025,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1080,150.0,4062,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1090,150.0,4099,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1100,150.0,4137,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1110,150.0,4174,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1120,150.0,4212,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1130,150.0,4249,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1140,150.0,4286,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1150,150.0,4324,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1160,150.0,4361,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1170,150.0,4399,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1180,150.0,4436,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1190,150.0,4473,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1200,150.0,4511,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1210,150.0,4548,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1220,150.0,4585,148.4,149.73,0.27,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1230,150.0,4623,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1240,150.0,4661,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
1250,150.0,4698,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
1260,150.0,4735,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1270,150.0,4772,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1280,150.0,4810,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1290,150.0,4848,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
1300,150.0,4885,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
1310,150.0,4922,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1320,150.0,4959,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
1330,150.0,4997,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
1340,150.0,5034,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
1350,150.0,5072,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
1360,150.0,5109,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
1370,150.0,5147,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
1380,150.0,5184,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
1390,150.0,5221,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
